GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stars,edu.brown.cs.mji13.command,REPLRunner,159,0,6,0,33,0,5,0,2,0
stars,edu.brown.cs.mji13.csvParse,CSVParser,81,3,6,0,24,2,4,1,1,1
stars,edu.brown.cs.mji13.kdTree,KDTree,5,469,3,33,1,93,3,30,0,15
stars,edu.brown.cs.mji13.kdTree,KDNode,6,75,0,6,3,22,0,12,0,9
stars,edu.brown.cs.mji13.validations,ArgsValidator,19,110,3,9,5,26,3,6,0,3
stars,edu.brown.cs.mji13.validations,StringValFunctions,2,56,4,4,0,12,4,6,0,6
stars,edu.brown.cs.mji13.validations,ArgsInformation,5,49,2,2,1,11,2,5,0,5
stars,edu.brown.cs.mji13.stars,NaiveNeighbors,267,345,10,19,31,46,9,14,2,6
stars,edu.brown.cs.mji13.stars,Radius,136,210,9,2,29,21,8,4,2,4
stars,edu.brown.cs.mji13.stars,Neighbors,349,233,16,5,41,28,15,5,5,4
stars,edu.brown.cs.mji13.stars,Main,104,0,2,0,29,0,6,0,5,0
stars,edu.brown.cs.mji13.stars,NaiveRadius,267,264,9,4,30,23,8,8,2,7
stars,edu.brown.cs.mji13.stars,StarStorage,22,90,2,4,5,24,5,8,3,7
stars,edu.brown.cs.mji13.stars,Star,20,87,4,6,4,20,4,9,0,8
stars,edu.brown.cs.mji13.stars,UpdateStarFile,253,250,6,2,19,25,6,3,2,3
stars,edu.brown.cs.mji13.stars,Main.FrontHandler,10,0,0,0,2,0,1,0,1,0
stars,edu.brown.cs.mji13.stars,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
stars,edu.brown.cs.mji13.stars,StarsGenerator,4,149,1,7,1,28,1,7,0,4
stars,edu.brown.cs.mji13.people,MockCSV,40,136,5,1,10,19,4,3,1,3
stars,edu.brown.cs.mji13.people,MockPerson,6,393,4,20,1,54,4,15,0,7
